streetName,streetType,minHouseNum,maxHouseNum
1. Máje,,1,100
1. května,,1,100
1. máje,,1,100
1. náměstí,,1,100
1. pětiletky,,1,100
1. ulice,,1,100
1. Čs. armádního sboru,,1,100
10. června 1942,,1,100
12. dubna,,1,100
14. října,,1,100
17. listopadu,,1,100
18. dubna,,1,100
2. května,,1,100
2. náměstí,,1,100
2. odboje,,1,100
2. polské armády,,1,100
21. dubna,,1,100
22. dubna,,1,100
22. července,,1,100
24. dubna,,1,100
26. dubna,,1,100
27. dubna,,1,100
28. ŘÍJNA,,1,100
28. Října,,1,100
28. října,,1,100
29. dubna,,1,100
29. srpna,,1,100
3. května,,1,100
3. pluku,,1,100
30. dubna,,1,100
4. května,,1,100
40. pluku,,1,100
5. Května,,1,100
5. května,,1,100
5. máje,,1,100
6. května,,1,100
6. srpna,,1,100
6. července,,1,100
7. května,,1,100
7. listopadu,,1,100
8. Května,,1,100
8. března,,1,100
8. května,,1,100
8. listopadu,,1,100
8. pěšího pluku,,1,100
9. května,,1,100
A. B. Svojsíka,,1,100
A. Bartoše,,1,100
A. Bunzla,,1,100
A. Chittussiho,,1,100
A. Dohnala,,1,100
A. Dvořáka,,1,100
A. Havleny,,1,100
A. Heimanna,,1,100
A. Hrubého,,1,100
A. Háby,,1,100
A. Jiráska,,1,100
A. Jánského,,1,100
A. Kabátové,,1,100
A. Kašpara,,1,100
A. Kouly,,1,100
A. Krejčího,,1,100
A. Kroutila,,1,100
A. Kubeši,,1,100
A. Kuběny,,1,100
A. Kříže,,1,100
A. Křížka,,1,100
A. Lidmilové,,1,100
A. Loose,,1,100
A. M. Jelínka,,1,100
A. Malé,,1,100
A. Muchy,,1,100
A. P. Čechova,,1,100
A. Petržely,,1,100
A. Polívky,,1,100
A. Randýskové,,1,100
A. Roškotové,,1,100
A. S. Puškina,,1,100
A. Sautera,,1,100
A. Sedláčka,,1,100
A. Seligera,,1,100
A. Sklenáře,,1,100
A. Skotáka,,1,100
A. Slavíčka,,1,100
A. Staška,,1,100
A. Stiftera,,1,100
